Gene ID,EntrezGene ID
ENSG00000067225,5315
ENSG00000101333,5332
ENSG00000115896,5334
ENSG00000170502,53343
ENSG00000152782,53354
ENSG00000206445,534
ENSG00000230900,534
ENSG00000234668,534
ENSG00000234920,534
ENSG00000213760,534
ENSG00000227587,534
ENSG00000226850,534
ENSG00000137857,53905
ENSG00000139155,53919
ENSG00000095380,54187
ENSG00000134294,54407
ENSG00000135226,54490
ENSG00000242366,54576
ENSG00000088766,54675
ENSG00000148090,549
ENSG00000106733,54981
ENSG00000139209,55089
ENSG00000143845,55224
ENSG00000157881,55229
ENSG00000273494,55229
ENSG00000152463,55301
ENSG00000198246,55315
ENSG00000155189,55326
ENSG00000016391,55349
ENSG00000093134,55350
ENSG00000136213,55501
ENSG00000100253,55586
ENSG00000151360,55821
ENSG00000131069,55902
ENSG00000109667,56606
ENSG00000148384,56623
ENSG00000063176,56848
ENSG00000111666,56994
ENSG00000091664,57084
ENSG00000132677,57127
ENSG00000283094,5728
ENSG00000171862,5728
ENSG00000144290,57282
ENSG00000111732,57379
ENSG00000185052,57419
ENSG00000124140,57468
ENSG00000240857,57665
ENSG00000249948,57733
ENSG00000183010,5831
ENSG00000055609,58508
ENSG00000250799,58510
ENSG00000115665,60482
ENSG00000197713,6120
ENSG00000275544,622
ENSG00000161267,622
ENSG00000197506,64078
ENSG00000103489,64131
ENSG00000181523,6448
ENSG00000158786,64600
ENSG00000276333,64711
ENSG00000162040,64711
ENSG00000073849,6480
ENSG00000100522,64841
ENSG00000164089,64850
ENSG00000126091,6487
ENSG00000106688,6505
ENSG00000110436,6506
ENSG00000079215,6507
ENSG00000114923,6508
ENSG00000115902,6509
ENSG00000162383,6512
ENSG00000117394,6513
ENSG00000163581,6514
ENSG00000181856,6517
ENSG00000142583,6518
ENSG00000138079,6519
ENSG00000168003,6520
ENSG00000004939,6521
ENSG00000164889,6522
ENSG00000100170,6523
ENSG00000140675,6524
ENSG00000198743,6526
ENSG00000276657,65263
ENSG00000104524,65263
ENSG00000105641,6528
ENSG00000103546,6530
ENSG00000142319,6531
ENSG00000276996,6531
ENSG00000108576,6532
ENSG00000131389,6533
ENSG00000011083,6534
ENSG00000130821,6535
ENSG00000132164,6538
ENSG00000111181,6539
ENSG00000010379,6540
ENSG00000139514,6541
ENSG00000003989,6542
ENSG00000118160,6543
ENSG00000183023,6546
ENSG00000100678,6547
ENSG00000090020,6548
ENSG00000115616,6549
ENSG00000100652,6554
ENSG00000125255,6555
ENSG00000074803,6557
ENSG00000064651,6558
ENSG00000070915,6559
ENSG00000124067,6560
ENSG00000081800,6561
ENSG00000141469,6563
ENSG00000163406,6565
ENSG00000124568,6568
ENSG00000036565,6570
ENSG00000165646,6571
ENSG00000187714,6572
ENSG00000173638,6573
ENSG00000144136,6574
ENSG00000168575,6575
ENSG00000084453,6579
ENSG00000175003,6580
ENSG00000112499,6582
ENSG00000197208,6583
ENSG00000133460,66035
ENSG00000275744,66035
ENSG00000142168,6647
ENSG00000109610,6649
ENSG00000172331,669
ENSG00000088002,6820
ENSG00000101945,6839
ENSG00000167815,7001
ENSG00000180176,7054
ENSG00000115705,7173
ENSG00000277603,7173
ENSG00000128311,7263
ENSG00000136810,7295
ENSG00000198431,7296
ENSG00000107165,7306
ENSG00000102100,7355
ENSG00000259431,79178
ENSG00000228712,7923
ENSG00000225312,7923
ENSG00000232357,7923
ENSG00000112474,7923
ENSG00000204228,7923
ENSG00000228357,7923
ENSG00000176383,79369
ENSG00000120137,79646
ENSG00000152455,79723
ENSG00000166908,79837
ENSG00000185875,79896
ENSG00000071967,79901
ENSG00000148334,80142
ENSG00000115652,80146
ENSG00000162174,80150
ENSG00000166391,80168
ENSG00000099377,80270
ENSG00000086544,80271
ENSG00000135917,80704
ENSG00000111271,80724
ENSG00000197496,81031
ENSG00000282367,81490
ENSG00000174915,81490
ENSG00000126821,81537
ENSG00000111371,81539
ENSG00000123739,81579
ENSG00000132874,8170
ENSG00000087008,8310
ENSG00000113073,83697
ENSG00000136169,83852
ENSG00000184381,8398
ENSG00000176597,84002
ENSG00000103253,84264
ENSG00000154930,84532
ENSG00000065923,84679
ENSG00000124370,84693
ENSG00000166123,84706
ENSG00000165282,84720
ENSG00000205060,84912
ENSG00000278139,8503
ENSG00000117461,8503
ENSG00000250719,8503
ENSG00000149091,8525
ENSG00000280873,8527
ENSG00000077044,8527
ENSG00000053371,8574
ENSG00000067113,8611
ENSG00000113231,8622
ENSG00000073734,8647
ENSG00000276582,8647
ENSG00000159423,8659
ENSG00000169255,8706
ENSG00000136908,8818
ENSG00000171097,883
ENSG00000115525,8869
ENSG00000078269,8871
ENSG00000056998,8908
ENSG00000139151,89869
ENSG00000171004,90161
ENSG00000138135,9023
ENSG00000250565,90423
ENSG00000155465,9056
ENSG00000103064,9057
ENSG00000159720,9114
ENSG00000141526,9123
ENSG00000197355,91373
ENSG00000165970,9152
ENSG00000137860,9153
ENSG00000156222,9154
ENSG00000132744,91703
ENSG00000148377,91734
ENSG00000074621,9187
ENSG00000118596,9194
ENSG00000169359,9197
ENSG00000121207,9227
ENSG00000171989,92483
ENSG00000017483,92745
ENSG00000156966,93010
ENSG00000185013,93034
ENSG00000087111,94005
ENSG00000134824,9415
ENSG00000175040,9435
ENSG00000102230,9468
ENSG00000050438,9498
ENSG00000054179,954
ENSG00000197586,955
ENSG00000241468,9551
ENSG00000168032,956
ENSG00000176095,9807
ENSG00000143379,9869
ENSG00000093217,9942
ENSG00000182601,9951
