Gene ID,EntrezGene ID
ENSG00000196839,100
ENSG00000113552,10007
ENSG00000142892,10026
ENSG00000008311,10157
ENSG00000214160,10195
ENSG00000110719,10312
ENSG00000179913,10331
ENSG00000162813,10380
ENSG00000163624,1040
ENSG00000198721,10455
ENSG00000136371,10588
ENSG00000128050,10606
ENSG00000167283,10632
ENSG00000170340,10678
ENSG00000147155,10682
ENSG00000144908,10840
ENSG00000036530,10858
ENSG00000173175,111
ENSG00000118094,11181
ENSG00000241644,11185
ENSG00000110721,1119
ENSG00000174233,112
ENSG00000100288,1120
ENSG00000139629,11226
ENSG00000169239,11238
ENSG00000177239,11253
ENSG00000027847,11285
ENSG00000121281,113
ENSG00000155897,114
ENSG00000162104,115
ENSG00000166165,1152
ENSG00000104879,1158
ENSG00000237289,1159
ENSG00000131730,1160
ENSG00000166743,116285
ENSG00000196616,125
ENSG00000248144,126
ENSG00000172955,130
ENSG00000093010,1312
ENSG00000135940,1329
ENSG00000111775,1337
ENSG00000161281,1346
ENSG00000112695,1347
ENSG00000080819,1371
ENSG00000021826,1373
ENSG00000110090,1374
ENSG00000205560,1375
ENSG00000157184,1376
ENSG00000095321,1384
ENSG00000127837,14
ENSG00000062485,1431
ENSG00000129673,15
ENSG00000171793,1503
ENSG00000160870,1551
ENSG00000197838,1553
ENSG00000197408,1555
ENSG00000108242,1562
ENSG00000280905,1565
ENSG00000282966,1565
ENSG00000283284,1565
ENSG00000100197,1565
ENSG00000272532,1565
ENSG00000275211,1565
ENSG00000130649,1571
ENSG00000197446,1572
ENSG00000239900,158
ENSG00000140459,1583
ENSG00000160882,1584
ENSG00000179142,1585
ENSG00000137869,1588
ENSG00000235134,1589
ENSG00000232414,1589
ENSG00000206338,1589
ENSG00000198457,1589
ENSG00000231852,1589
ENSG00000233151,1589
ENSG00000035687,159
ENSG00000111012,1594
ENSG00000001630,1595
ENSG00000065357,1606
ENSG00000145214,1609
ENSG00000110887,1610
ENSG00000123454,1621
ENSG00000167969,1632
ENSG00000156136,1633
ENSG00000129187,1635
ENSG00000132437,1644
ENSG00000244038,1650
ENSG00000114956,1716
ENSG00000172893,1717
ENSG00000183044,18
ENSG00000147647,1807
ENSG00000168393,1841
ENSG00000172482,189
ENSG00000127884,1892
ENSG00000074800,2023
ENSG00000111674,2026
ENSG00000162433,205
ENSG00000148218,210
ENSG00000023330,211
ENSG00000158578,212
ENSG00000182197,2131
ENSG00000151348,2132
ENSG00000162694,2135
ENSG00000012232,2137
ENSG00000165092,216
ENSG00000111275,217
ENSG00000103876,2184
ENSG00000169710,2194
ENSG00000006534,221
ENSG00000132746,222
ENSG00000160752,2224
ENSG00000143149,223
ENSG00000066926,2235
ENSG00000072210,224
ENSG00000149925,226
ENSG00000091483,2271
ENSG00000179918,22928
ENSG00000086475,22929
ENSG00000182621,23236
ENSG00000101892,23439
ENSG00000088451,23483
ENSG00000162882,23498
ENSG00000136877,2356
ENSG00000118298,23632
ENSG00000241878,23761
ENSG00000108839,239
ENSG00000163295,248
ENSG00000162551,249
ENSG00000163283,250
ENSG00000179163,2517
ENSG00000001036,2519
ENSG00000128683,2571
ENSG00000136750,2572
ENSG00000135454,2583
ENSG00000141429,2589
ENSG00000111640,2597
ENSG00000159131,2618
ENSG00000262473,2618
ENSG00000092621,26227
ENSG00000117215,26279
ENSG00000154027,26289
ENSG00000130035,26290
ENSG00000148288,26301
